year,ipcc_code,ecp_all_sectCO2_usd_k
2016,Machinery,1.5784345441970054
2017,Machinery,2.008152432670138
2018,Machinery,3.843589734729546
2019,Machinery,5.686220937950141
2020,Machinery,4.865294203290125
2021,Machinery,11.313826686569213
2022,Machinery,14.42246529807158
2023,Machinery,13.142123145349828
2024,Machinery,10.139292320653668
1989,Mining and Quarrying,0.0
1990,Mining and Quarrying,0.0256438967617731
1991,Mining and Quarrying,0.5501863732112334
1992,Mining and Quarrying,0.4597514740592087
1993,Mining and Quarrying,0.4844992256328693
1994,Mining and Quarrying,0.7691289353762849
1995,Mining and Quarrying,0.4602732447821779
1996,Mining and Quarrying,0.5269743430553124
1997,Mining and Quarrying,0.4650394123646998
1998,Mining and Quarrying,0.6338846878946567
1999,Mining and Quarrying,0.6140921432271262
2000,Mining and Quarrying,0.4919834807105219
2001,Mining and Quarrying,0.4920539304656421
2002,Mining and Quarrying,0.5000364604163817
2003,Mining and Quarrying,0.5570143529852053
2004,Mining and Quarrying,0.4412625922245367
2005,Mining and Quarrying,4.019243225227736
2006,Mining and Quarrying,2.8127583399707734
2007,Mining and Quarrying,0.3708096195709257
2008,Mining and Quarrying,2.249704933149752
2009,Mining and Quarrying,1.448158632555279
2010,Mining and Quarrying,1.8598239163007435
2011,Mining and Quarrying,2.296394223654307
2012,Mining and Quarrying,1.2691938420410116
2013,Mining and Quarrying,0.8451221873645199
2014,Mining and Quarrying,1.0804447733050917
2015,Mining and Quarrying,1.2509439782138274
2016,Mining and Quarrying,1.0779598737314866
2017,Mining and Quarrying,1.342654005214064
2018,Mining and Quarrying,3.853812897348464
2019,Mining and Quarrying,4.983768851089383
2020,Mining and Quarrying,4.691820484280865
2021,Mining and Quarrying,10.478411842800131
2022,Mining and Quarrying,13.674475188620164
2023,Mining and Quarrying,12.993861386902674
2024,Mining and Quarrying,10.376737677512674
1989,International Aviation,0.0
1990,International Aviation,0.0
1991,International Aviation,0.0
1992,International Aviation,0.0
1993,International Aviation,0.0
1994,International Aviation,0.0
1995,International Aviation,0.0
1996,International Aviation,0.0
1997,International Aviation,0.0
1998,International Aviation,0.0
1999,International Aviation,0.0
2000,International Aviation,0.0
2001,International Aviation,0.0
2002,International Aviation,0.0
2003,International Aviation,0.0
2004,International Aviation,0.0
2005,International Aviation,0.0
2006,International Aviation,0.0
2007,International Aviation,0.0
2008,International Aviation,0.0
2009,International Aviation,0.0
2010,International Aviation,0.0
2011,International Aviation,2.7212500621594943e-05
2012,International Aviation,1.33250775552665
2013,International Aviation,0.4949015064600717
2014,International Aviation,0.6482667699603697
2015,International Aviation,0.8230447673111236
2016,International Aviation,0.5670698020175637
2017,International Aviation,0.6245012122708301
2018,International Aviation,1.5612647102823214
2019,International Aviation,2.5202833240075746
2020,International Aviation,2.1966736222943415
2021,International Aviation,3.4217903365996643
2022,International Aviation,5.196562541155278
2023,International Aviation,5.131836765320958
2024,International Aviation,4.024053383499428
1989,Road Transport,0.0
1990,Road Transport,0.0075997230550682
1991,Road Transport,0.4900831517907623
1992,Road Transport,0.6435820295371645
1993,Road Transport,0.7052317451832459
1994,Road Transport,0.7260007942390374
1995,Road Transport,0.7108927773245348
1996,Road Transport,0.7127171861891457
1997,Road Transport,0.7174075025002069
1998,Road Transport,0.7301781607447418
1999,Road Transport,0.7085337587476319
2000,Road Transport,0.6387478710893126
2001,Road Transport,0.6851700234046052
2002,Road Transport,0.7415509779837078
2003,Road Transport,0.8169405988871314
2004,Road Transport,0.8937100154822564
2005,Road Transport,0.8442945832233554
2006,Road Transport,0.8236888679720793
2007,Road Transport,0.8013077291123373
2008,Road Transport,0.7964011946379449
2009,Road Transport,0.8016490982550016
2010,Road Transport,0.8875470094249569
2011,Road Transport,0.8409818605053923
2012,Road Transport,0.90671901270248
2013,Road Transport,0.862473700616365
2014,Road Transport,0.9705114571636506
2015,Road Transport,1.3625043898014817
2016,Road Transport,1.5698581110991987
2017,Road Transport,1.7465879227133967
2018,Road Transport,2.235047761127828
2019,Road Transport,2.200742194664413
2020,Road Transport,2.150859447541218
2021,Road Transport,3.142957109612205
2022,Road Transport,3.288513054466594
2023,Road Transport,2.9410256664794727
2024,Road Transport,3.39098670073891
1989,Buildings - Commercial and Institutional,0.0
1990,Buildings - Commercial and Institutional,0.0
1991,Buildings - Commercial and Institutional,0.3142527471674683
1992,Buildings - Commercial and Institutional,0.402304432836044
1993,Buildings - Commercial and Institutional,0.4444829950058079
1994,Buildings - Commercial and Institutional,0.49375606601023
1995,Buildings - Commercial and Institutional,0.5328892165614727
1996,Buildings - Commercial and Institutional,0.6406704848814716
1997,Buildings - Commercial and Institutional,0.5728760807336162
1998,Buildings - Commercial and Institutional,0.5804528458105269
1999,Buildings - Commercial and Institutional,0.5986391969884394
2000,Buildings - Commercial and Institutional,0.4725094068598227
2001,Buildings - Commercial and Institutional,0.5861022646047633
2002,Buildings - Commercial and Institutional,0.6708800088110141
2003,Buildings - Commercial and Institutional,0.7170767137091989
2004,Buildings - Commercial and Institutional,0.6259408940331692
2005,Buildings - Commercial and Institutional,0.3955688452108211
2006,Buildings - Commercial and Institutional,0.3875988838726768
2007,Buildings - Commercial and Institutional,0.3746900195874095
2008,Buildings - Commercial and Institutional,0.4010980880448672
2009,Buildings - Commercial and Institutional,0.3908447008462335
2010,Buildings - Commercial and Institutional,0.6697565874293158
2011,Buildings - Commercial and Institutional,0.5812782114902189
2012,Buildings - Commercial and Institutional,0.6452071335007334
2013,Buildings - Commercial and Institutional,0.6000484427418417
2014,Buildings - Commercial and Institutional,0.9060580978249672
2015,Buildings - Commercial and Institutional,1.385559872983211
2016,Buildings - Commercial and Institutional,1.9107673097457591
2017,Buildings - Commercial and Institutional,2.221229189921784
2018,Buildings - Commercial and Institutional,2.7671873425563804
2019,Buildings - Commercial and Institutional,2.8890690344220555
2020,Buildings - Commercial and Institutional,2.861094620713563
2021,Buildings - Commercial and Institutional,4.1824863476674885
2022,Buildings - Commercial and Institutional,3.794947945075511
2023,Buildings - Commercial and Institutional,3.506090372642991
