Jurisdiction,Year,IPCC_cat_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price,tax_curr_code,ets_curr_code,tax_rate_incl_ex_clcu_USD,ets_price_USD,tax_rate_incl_ex_clcu_2019USD,ets_price_2019USD,tax_curr_x_rate,ets_curr_x_rate
Denmark,1989,1B2B3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B31,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B32,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B33,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B34,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B35,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B2B36,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1B3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C1A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C1B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C1C,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C2A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C2B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,1C3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,20,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,200,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2000,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,20000,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,200000,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A4A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A4B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A4C,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2A4D,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B10,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,2B4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
