jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Guangdong Province,1989,3D1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,3D2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4A1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4A2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4A3,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4B,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4C,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4C1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4C2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4D,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4D1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4D2,,,,,,,,,,,,,,,,,
Guangdong Province,1989,4E,,,,,,,,,,,,,,,,,
Guangdong Province,1989,5,,,,,,,,,,,,,,,,,
Guangdong Province,1989,5A,,,,,,,,,,,,,,,,,
Guangdong Province,1989,5A1,,,,,,,,,,,,,,,,,
Guangdong Province,1989,5A2,,,,,,,,,,,,,,,,,
Guangdong Province,1990,0,,,,,,,,,,,,,,,,,
Guangdong Province,1990,1,,,,,,,,,,,,,,,,,
Guangdong Province,1990,1A,ABFLOW001,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A,ABFLOW001,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A,ABFLOW001,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1,,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1,,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1,,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A,ABFLOW002,Coal,,,,,,,,,,,,,,,
