jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Norway,1995,1A1,,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A1,,Oil,,,,,,,,,,,,,,,
Norway,1995,1A1A,ABFLOW002,Coal,,,,,,,,,,,,,,,
Norway,1995,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A1A,ABFLOW002,Oil,,,,,,,,,,,,,,,
Norway,1995,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,,,,
Norway,1995,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A1A1,ABFLOW003,Oil,415.0,,,NOK,,,47.15909090909091,,,112.67972590738769,,,8.8,,
Norway,1995,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,,,,
Norway,1995,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,,,,
Norway,1995,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,,,,
Norway,1995,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,,,,
Norway,1995,1A1B,ABFLOW011,Coal,,,,,,,,,,,,,,,
Norway,1995,1A1B,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A1B,ABFLOW011,Oil,415.0,,,NOK,,,47.15909090909091,,,112.67972590738769,,,8.8,,
Norway,1995,1A1C,ABFLOW011,Coal,,,,,,,,,,,,,,,
Norway,1995,1A1C,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A1C,ABFLOW011,Oil,415.0,,,NOK,,,47.15909090909091,,,112.67972590738769,,,8.8,,
Norway,1995,1A2,ABFLOW012,Coal,,,,,,,,,,,,,,,
Norway,1995,1A2,ABFLOW012,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A2,ABFLOW012,Oil,,,,,,,,,,,,,,,
Norway,1995,1A2A,ABFLOW016,Coal,,,,,,,,,,,,,,,
Norway,1995,1A2A,ABFLOW016,Natural gas,,,,,,,,,,,,,,,
Norway,1995,1A2A,ABFLOW016,Oil,415.0,,,NOK,,,47.15909090909091,,,112.67972590738769,,,8.8,,
