jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd_k,ets_price_usd_k,ets_2_price_usd_k,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Finland,1989,3B1A,,,,,,,,,,,,,,
Finland,1989,3B1B,,,,,,,,,,,,,,
Finland,1989,3B2,,,,,,,,,,,,,,
Finland,1989,3B2A,,,,,,,,,,,,,,
Finland,1989,3B2B,,,,,,,,,,,,,,
Finland,1989,3B3,,,,,,,,,,,,,,
Finland,1989,3B3A,,,,,,,,,,,,,,
Finland,1989,3B3B,,,,,,,,,,,,,,
Finland,1989,3B4,,,,,,,,,,,,,,
Finland,1989,3B4A,,,,,,,,,,,,,,
Finland,1989,3B4B,,,,,,,,,,,,,,
Finland,1989,3B5,,,,,,,,,,,,,,
Finland,1989,3B5A,,,,,,,,,,,,,,
Finland,1989,3B5B,,,,,,,,,,,,,,
Finland,1989,3B6,,,,,,,,,,,,,,
Finland,1989,3B6A,,,,,,,,,,,,,,
Finland,1989,3B6B,,,,,,,,,,,,,,
Finland,1989,3B6B1,,,,,,,,,,,,,,
Finland,1989,3B6B2,,,,,,,,,,,,,,
Finland,1989,3B6B3,,,,,,,,,,,,,,
Finland,1989,3B6B4,,,,,,,,,,,,,,
Finland,1989,3B6B5,,,,,,,,,,,,,,
Finland,1989,3C,,,,,,,,,,,,,,
Finland,1989,3C1,,,,,,,,,,,,,,
Finland,1989,3C2,,,,,,,,,,,,,,
Finland,1989,3C3,,,,,,,,,,,,,,
Finland,1989,3C4,,,,,,,,,,,,,,
Finland,1989,3C5,,,,,,,,,,,,,,
Finland,1989,3C6,,,,,,,,,,,,,,
Finland,1989,3C7,,,,,,,,,,,,,,
Finland,1989,3C8,,,,,,,,,,,,,,
Finland,1989,3D,,,,,,,,,,,,,,
Finland,1989,3D1,,,,,,,,,,,,,,
Finland,1989,3D2,,,,,,,,,,,,,,
Finland,1989,4,,,,,,,,,,,,,,
Finland,1989,4A,,,,,,,,,,,,,,
Finland,1989,4A1,,,,,,,,,,,,,,
Finland,1989,4A2,,,,,,,,,,,,,,
Finland,1989,4A3,,,,,,,,,,,,,,
Finland,1989,4B,,,,,,,,,,,,,,
Finland,1989,4C,,,,,,,,,,,,,,
Finland,1989,4C1,,,,,,,,,,,,,,
Finland,1989,4C2,,,,,,,,,,,,,,
Finland,1989,4D,,,,,,,,,,,,,,
Finland,1989,4D1,,,,,,,,,,,,,,
Finland,1989,4D2,,,,,,,,,,,,,,
Finland,1989,4E,,,,,,,,,,,,,,
