ipcc_code,year,ecp_ets_sectCO2_usd_k,ecp_tax_sectCO2_usd_k,ecp_all_sectCO2_usd_k
1A2D,1997,0.0,1.0154093308810936,1.0154093308810936
1A2D,1998,0.0,1.1702833741057583,1.1702833741057583
1A2D,1999,0.0,1.1481769316348704,1.1481769316348704
1A2D,2000,0.0,0.9022075706446615,0.9022075706446615
1A2D,2001,0.0,0.9041858444018156,0.9041858444018156
1A2D,2002,0.0,0.8422759284520196,0.8422759284520196
1A2D,2003,0.0,0.903459439149329,0.903459439149329
1A2D,2004,0.0,0.8326926033991473,0.8326926033991473
1A2D,2005,5.177391665577816,0.7356106057713167,5.913002271349132
1A2D,2006,4.204079807889162,0.7947837715472647,4.998863579436426
1A2D,2007,0.1590315159752227,0.690398968295958,0.8494304842711807
1A2D,2008,3.928050235607634,0.5136509212092724,4.441701156816906
1A2D,2009,2.7115902551208944,0.42676244498586513,3.1383527001067595
1A2D,2010,2.8913664855884527,0.4533204720925111,3.3446869576809637
1A2D,2011,2.65817111501554,0.584326562249187,3.242497677264727
1A2D,2012,1.487441425994282,0.8626707996522056,2.350112225646488
1A2D,2013,0.9375639608519615,0.9399937276629479,1.8775576885149092
1A2D,2014,1.3762456713161195,1.108831187967528,2.4850768592836476
1A2D,2015,1.6877256528110387,1.1261940491335494,2.813919701944588
1A2D,2016,1.2267429061803503,1.4190186315469295,2.64576153772728
1A2D,2017,1.3477311655743058,1.5832996832680037,2.9310308488423096
1A2D,2018,3.4745270713793843,1.676046366260626,5.15057343764001
1A2D,2019,5.919562407696052,2.20249344625086,8.122055853946913
1A2D,2020,5.309879240136374,1.8574463585624892,7.167325598698864
1A2D,2021,12.312618202734255,1.7663395658370415,14.078957768571296
1A2D,2022,15.522743736889387,1.8340578146658928,17.35680155155528
1A2D,2023,14.986260729785062,1.789747263290164,16.776007993075225
1A2D,2024,11.582776318923342,2.0453976884745875,13.628174007397929
1A2E,1989,0.0,0.0,0.0
1A2E,1990,0.0,0.009300672467867654,0.009300672467867654
1A2E,1991,0.0,0.31329220149728154,0.31329220149728154
1A2E,1992,0.0,0.44931964682161213,0.44931964682161213
1A2E,1993,0.0,0.45764810311992044,0.45764810311992044
1A2E,1994,0.0,0.5570971696234147,0.5570971696234147
1A2E,1995,0.0,0.3787026213528512,0.3787026213528512
1A2E,1996,0.0,0.4719601405791176,0.4719601405791176
1A2E,1997,0.0,0.5076481246885198,0.5076481246885198
1A2E,1998,0.0,0.5527272809695377,0.5527272809695377
1A2E,1999,0.0,0.5969284703007995,0.5969284703007995
1A2E,2000,0.0,0.45990196972902897,0.45990196972902897
1A2E,2001,0.0,0.38264784811495334,0.38264784811495334
1A2E,2002,0.0,0.3849221630304372,0.3849221630304372
1A2E,2003,0.0,0.4313241454319918,0.4313241454319918
1A2E,2004,0.0,0.32064997149035557,0.32064997149035557
1A2E,2005,5.886936537925876,0.18665123912695303,6.073587777052829
1A2E,2006,4.422651596340473,0.17890899640240063,4.601560592742874
1A2E,2007,0.16627693227960996,0.14949434877988899,0.3157712810594989
1A2E,2008,3.961527606428164,0.06474352881733184,4.026271135245496
1A2E,2009,2.7994924085740225,0.06744780288765047,2.8669402114616727
1A2E,2010,3.088780750018459,0.06896174923391361,3.157742499252373
1A2E,2011,2.82310029320852,0.04728885269964773,2.8703891459081676
1A2E,2012,1.5174663799914112,0.31257340124934213,1.8300397812407534
1A2E,2013,0.8855694195716355,0.30015687000212204,1.1857262895737575
1A2E,2014,1.3146440072937158,0.36223991919306686,1.6768839264867825
1A2E,2015,1.7424377126715027,0.12938417114087386,1.8718218838123766
1A2E,2016,1.3309764028537407,0.15337832006217192,1.4843547229159126
1A2E,2017,1.545571236021689,0.18784821446810074,1.73341945048979
1A2E,2018,3.9555771104115496,0.19984326932760185,4.155420379739152
1A2E,2019,6.113076448069745,0.21852969106689737,6.3316061391366425
1A2E,2020,6.0851206812463365,0.23537689347579727,6.3204975747221335
1A2E,2021,13.455309548905591,0.2843860592297601,13.73969560813535
1A2E,2022,18.4331149089973,0.2897100937032368,18.72282500270054
1A2E,2023,17.312901728071658,0.2813723958856599,17.594274123957316
1A2E,2024,13.39919146346574,0.3072725259207515,13.706463989386492
1A2F,1989,0.0,0.0,0.0
1A2F,1990,0.0,0.011653465094685591,0.011653465094685591
1A2F,1991,0.0,0.07605343334962844,0.07605343334962844
1A2F,1992,0.0,0.11994436927209917,0.11994436927209917
1A2F,1993,0.0,0.12658182853247096,0.12658182853247096
1A2F,1994,0.0,0.12263814914476957,0.12263814914476957
